,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,actin_ver,bjd,file,instr,rv
93,0.3228127182417133,4.584671852666681e-05,0.0017825571532656835,0.1530800716834005,0.0,0.0003471721890487513,0.11246578065984301,0.0,0.0003455755613938617,2.0_beta_11,2453051.74926961,average_2010-02-19_s1d_A.fits,test,-9480.000000000024
94,0.4032722229889399,0.0,0.0014446582023284384,0.15818008673916592,0.0,0.00024864003434832703,0.11499360265516238,0.0,0.0002374841299146064,2.0_beta_11,2455247.75688833,average_2010-02-20_s1d_A.fits,test,-9480.000000000024
95,0.3989429379109824,0.0,0.0010038892490938955,0.15990041991573217,0.0,0.0001790070154807635,0.11279001893537016,0.0,0.00016716444528977394,2.0_beta_11,2455226.78674904,average_2010-02-21_s1d_A.fits,test,-9500.000000000024
96,0.4081150398261871,0.0,0.0016668017368269632,0.15735289741997224,0.0,0.00028996594857788794,0.11512221201817924,0.0,0.0002779142065688262,2.0_beta_11,2455246.83940142,average_2010-03-17_s1d_A.fits,test,-9480.000000000024
97,0.3831088832434945,0.0,0.0017399323472704485,0.15914925930251198,0.0,0.00031165857220354776,0.1146714382553992,0.0,0.0003003884406992714,2.0_beta_11,2455275.63403608,average_2010-03-20_s1d_A.fits,test,-10210.00000000001
98,0.3831088832434945,0.0,0.0017399323472704485,0.15914925930251198,0.0,0.00031165857220354776,0.1146714382553992,0.0,0.0003003884406992714,2.0_beta_11,2455275.63403608,average_2010-03-21_s1d_A.fits,test,-10210.00000000001
99,0.3812328448001706,0.0,0.0013426504189977925,0.158705800184664,0.0,0.00024123051615234384,0.11408216317900488,0.0,0.00022921963140872342,2.0_beta_11,2455277.64563002,average_2010-03-22_s1d_A.fits,test,-9450.000000000024
100,0.36948062737102455,0.0,0.0013325965551390833,0.15740802727963052,0.0,0.00023704280844186553,0.11410091532716216,0.0,0.00022160424483021242,2.0_beta_11,2455574.86387678,average_2011-01-12_s1d_A.fits,test,-9500.000000000024
101,0.3729291826850099,0.0,0.0013237372000129942,0.15697217491870488,0.0,0.0002322110979555283,0.11443598586884819,0.0,0.0002181778709015915,2.0_beta_11,2455575.86999575,average_2011-01-13_s1d_A.fits,test,-9500.000000000024
102,0.370276434788655,0.0,0.0016395041911948867,0.15744985617870014,0.0,0.000324306562826061,0.11488470773452754,0.0,0.0003022632240932603,2.0_beta_11,2455576.8647941,average_2011-01-14_s1d_A.fits,test,-9500.000000000024
103,0.366277780892678,0.0,0.0013922959659123666,0.1575095258568839,0.0,0.00023742079070956408,0.11461045397624985,0.0,0.00022440692150698063,2.0_beta_11,2455577.87313425,average_2011-01-15_s1d_A.fits,test,-9500.000000000024
104,0.3722394749613581,0.0,0.001521609898856805,0.15763665879362757,0.0,0.0002937805640085833,0.11522334647705787,0.0,0.00027437266878151925,2.0_beta_11,2455578.76441911,average_2011-01-16_s1d_A.fits,test,-9490.000000000024
105,0.36773678347806094,0.0,0.001476547967752988,0.1580398466360596,0.0,0.0002457485740207008,0.1141713388610075,0.0,0.00023264988321338,2.0_beta_11,2455579.79801402,average_2011-01-17_s1d_A.fits,test,-9200.00000000003
106,0.3654353108515889,0.0,0.0013501860078023722,0.1578660758527943,0.0,0.00021603832002589952,0.11369562095843667,0.0,0.00020444166097512254,2.0_beta_11,2455580.75369923,average_2011-01-18_s1d_A.fits,test,-9500.000000000024
107,0.36315683808107724,0.0,0.0013310763193927287,0.15823442897634513,0.0,0.00020929038917188487,0.11350422704876571,0.0,0.0001979573846590276,2.0_beta_11,2455583.78970625,average_2011-01-21_s1d_A.fits,test,-9500.000000000024
108,0.363753544440236,0.0,0.0016982660032109898,0.15841012318065073,0.0,0.00027673904609489897,0.11272687346970194,0.0,0.000262323697415344,2.0_beta_11,2455584.85474601,average_2011-01-22_s1d_A.fits,test,-9500.000000000024
109,0.36165663642460705,8.921265406713686e-07,0.001574794806642303,0.15813874146281737,0.0,0.0002582328701364449,0.1133497313675943,0.0,0.0002446121024984574,2.0_beta_11,2455585.8469922,average_2011-01-23_s1d_A.fits,test,-9500.000000000024
110,0.35824824214900364,4.159294267793772e-06,0.00150905964478312,0.15826903075873194,0.0,0.0002532355651047788,0.11276097369520771,0.0,0.00023780428499235032,2.0_beta_11,2455586.75519443,average_2011-01-24_s1d_A.fits,test,-9500.000000000024
111,0.36480404636033364,0.0,0.0017093548474388582,0.15790457366942776,0.0,0.0002695352079409987,0.11317848632405354,0.0,0.00025688551781476637,2.0_beta_11,2455589.87513904,average_2011-01-27_s1d_A.fits,test,-9490.000000000024
